ctit083
	Adding nVidia Cuda Toolkit 10.1
Gpu devices                 : 0
Starting worker: 
/tmp/slurmd/job220191/slurm_script: line 20: ./gpu_burn: No such file or directory
Train Set:  160
Validation Set:  40
Test Set:  100
cuda
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [1/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:07<10:10,  7.73s/it]
  2%|▎         | 2/80 [00:12<07:46,  5.98s/it]
  4%|▍         | 3/80 [00:17<06:58,  5.44s/it]
  5%|▌         | 4/80 [00:22<06:36,  5.22s/it]
  6%|▋         | 5/80 [00:26<06:18,  5.04s/it]
  8%|▊         | 6/80 [00:31<06:08,  4.98s/it]
  9%|▉         | 7/80 [00:36<06:01,  4.95s/it]
 10%|█         | 8/80 [00:41<05:52,  4.89s/it]
 11%|█▏        | 9/80 [00:46<05:49,  4.93s/it]
 12%|█▎        | 10/80 [00:51<05:47,  4.96s/it]
 14%|█▍        | 11/80 [00:56<05:49,  5.07s/it]
 15%|█▌        | 12/80 [01:01<05:41,  5.02s/it]
 50%|█████     | 10/20 [00:47<00:46,  4.69s/it]
 55%|█████▌    | 11/20 [00:51<00:42,  4.69s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.69s/it]
 65%|██████▌   | 13/20 [01:01<00:32,  4.68s/it]
 70%|███████   | 14/20 [01:05<00:28,  4.67s/it]
 75%|███████▌  | 15/20 [01:10<00:23,  4.68s/it]
 80%|████████  | 16/20 [01:15<00:18,  4.68s/it]
 85%|████████▌ | 17/20 [01:19<00:14,  4.70s/it]
 90%|█████████ | 18/20 [01:24<00:09,  4.69s/it]
 95%|█████████▌| 19/20 [01:29<00:04,  4.72s/it]
100%|██████████| 20/20 [01:34<00:00,  4.69s/it]
100%|██████████| 20/20 [01:34<00:00,  4.70s/it]
Epoch [4/20], Validation Loss: 0.2589
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [5/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:15,  4.76s/it]
  2%|▎         | 2/80 [00:09<06:11,  4.76s/it]
  4%|▍         | 3/80 [00:14<06:07,  4.78s/it]
  5%|▌         | 4/80 [00:18<06:00,  4.74s/it]
  6%|▋         | 5/80 [00:23<05:55,  4.74s/it]
  8%|▊         | 6/80 [00:28<05:52,  4.77s/it]
  9%|▉         | 7/80 [00:33<05:50,  4.80s/it]
 10%|█         | 8/80 [00:38<05:42,  4.75s/it]
 11%|█▏        | 9/80 [00:42<05:33,  4.70s/it]
 12%|█▎        | 10/80 [00:47<05:29,  4.71s/it]
 14%|█▍        | 11/80 [00:52<05:25,  4.72s/it]
 15%|█▌        | 12/80 [00:56<05:18,  4.69s/it]
 16%|█▋        | 13/80 [01:01<05:15,  4.71s/it]
 18%|█▊        | 14/80 [01:06<05:10,  4.70s/it]
 19%|█▉        | 15/80 [01:10<05:07,  4.73s/it]
 20%|██        | 16/80 [01:15<05:02,  4.73s/it]
 21%|██▏       | 17/80 [01:20<05:05,  4.85s/it]
 22%|██▎       | 18/80 [01:25<04:57,  4.79s/it]
 24%|██▍       | 19/80 [01:30<04:50,  4.77s/it]
 25%|██▌       | 20/80 [01:34<04:44,  4.74s/it]
 26%|██▋       | 21/80 [01:39<04:38,  4.72s/it]
 28%|██▊       | 22/80 [01:44<04:42,  4.86s/it]
 29%|██▉       | 23/80 [01:49<04:34,  4.81s/it]
 30%|███       | 24/80 [01:54<04:27,  4.78s/it]
 31%|███▏      | 25/80 [01:58<04:21,  4.75s/it]
 32%|███▎      | 26/80 [02:03<04:17,  4.77s/it]
 34%|███▍      | 27/80 [02:08<04:11,  4.75s/it]
 35%|███▌      | 28/80 [02:12<04:05,  4.72s/it]
 36%|███▋      | 29/80 [02:17<04:01,  4.74s/it]
 38%|███▊      | 30/80 [02:22<03:54,  4.70s/it]
 39%|███▉      | 31/80 [02:27<03:50,  4.70s/it]
 40%|████      | 32/80 [02:31<03:45,  4.69s/it]
 41%|████▏     | 33/80 [02:36<03:40,  4.69s/it]
 42%|████▎     | 34/80 [02:41<03:35,  4.69s/it]
 44%|████▍     | 35/80 [02:45<03:29,  4.66s/it]
 45%|████▌     | 36/80 [02:50<03:24,  4.65s/it]
 46%|████▋     | 37/80 [02:55<03:22,  4.72s/it]
 48%|████▊     | 38/80 [02:59<03:17,  4.71s/it]
 49%|████▉     | 39/80 [03:04<03:12,  4.70s/it]
 50%|█████     | 40/80 [03:09<03:09,  4.74s/it]
 51%|█████▏    | 41/80 [03:14<03:08,  4.85s/it]
 52%|█████▎    | 42/80 [03:19<03:03,  4.82s/it]
 54%|█████▍    | 43/80 [03:23<02:57,  4.78s/it]
 55%|█████▌    | 44/80 [03:28<02:51,  4.76s/it]
 56%|█████▋    | 45/80 [03:33<02:45,  4.74s/it]
 57%|█████▊    | 46/80 [03:38<02:41,  4.75s/it]
 59%|█████▉    | 47/80 [03:42<02:37,  4.78s/it]
 60%|██████    | 48/80 [03:47<02:32,  4.76s/it]
 61%|██████▏   | 49/80 [03:52<02:26,  4.73s/it]
 62%|██████▎   | 50/80 [03:57<02:22,  4.74s/it]
 64%|██████▍   | 51/80 [04:01<02:18,  4.76s/it]
 65%|██████▌   | 52/80 [04:06<02:12,  4.74s/it]
 66%|██████▋   | 53/80 [04:11<02:07,  4.74s/it]
 68%|██████▊   | 54/80 [04:16<02:03,  4.75s/it]
 69%|██████▉   | 55/80 [04:20<01:58,  4.73s/it]
 70%|███████   | 56/80 [04:25<01:53,  4.74s/it]
 71%|███████▏  | 57/80 [04:30<01:49,  4.76s/it]
 72%|███████▎  | 58/80 [04:35<01:44,  4.73s/it]
 74%|███████▍  | 59/80 [04:39<01:39,  4.74s/it]
 75%|███████▌  | 60/80 [04:44<01:34,  4.74s/it]
 76%|███████▋  | 61/80 [04:49<01:30,  4.74s/it]
 78%|███████▊  | 62/80 [04:54<01:25,  4.76s/it]
 79%|███████▉  | 63/80 [04:58<01:20,  4.76s/it]
 80%|████████  | 64/80 [05:03<01:15,  4.75s/it]
 81%|████████▏ | 65/80 [05:08<01:11,  4.74s/it]
 82%|████████▎ | 66/80 [05:13<01:06,  4.74s/it]
 84%|████████▍ | 67/80 [05:17<01:01,  4.71s/it]
 85%|████████▌ | 68/80 [05:22<00:56,  4.73s/it]
 86%|████████▋ | 69/80 [05:27<00:51,  4.69s/it]
 88%|████████▊ | 70/80 [05:31<00:47,  4.71s/it]
 89%|████████▉ | 71/80 [05:36<00:42,  4.70s/it]
 90%|█████████ | 72/80 [05:41<00:37,  4.70s/it]
 91%|█████████▏| 73/80 [05:46<00:33,  4.74s/it]
 92%|█████████▎| 74/80 [05:50<00:28,  4.77s/it]
 94%|█████████▍| 75/80 [05:55<00:23,  4.75s/it]
 95%|█████████▌| 76/80 [06:00<00:18,  4.73s/it]
 96%|█████████▋| 77/80 [06:05<00:14,  4.78s/it]
 98%|█████████▊| 78/80 [06:09<00:09,  4.78s/it]
 99%|█████████▉| 79/80 [06:14<00:04,  4.81s/it]
100%|██████████| 80/80 [06:19<00:00,  4.78s/it]
100%|██████████| 80/80 [06:19<00:00,  4.74s/it]
Epoch [5/20], Train Loss: 0.2548
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:29,  4.73s/it]
 10%|█         | 2/20 [00:09<01:25,  4.75s/it]
 15%|█▌        | 3/20 [00:14<01:20,  4.75s/it]
 20%|██        | 4/20 [00:19<01:16,  4.75s/it]
 25%|██▌       | 5/20 [00:23<01:11,  4.74s/it]
 30%|███       | 6/20 [00:28<01:06,  4.74s/it]
 35%|███▌      | 7/20 [00:33<01:01,  4.74s/it]
 40%|████      | 8/20 [00:37<00:56,  4.73s/it]
 45%|████▌     | 9/20 [00:42<00:51,  4.72s/it]
 50%|█████     | 10/20 [00:47<00:47,  4.73s/it]
 55%|█████▌    | 11/20 [00:52<00:42,  4.72s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.75s/it]
 65%|██████▌   | 13/20 [01:01<00:33,  4.77s/it]
 70%|███████   | 14/20 [01:06<00:28,  4.77s/it]
 75%|███████▌  | 15/20 [01:11<00:23,  4.78s/it]
 80%|████████  | 16/20 [01:15<00:19,  4.76s/it]
 85%|████████▌ | 17/20 [01:20<00:14,  4.78s/it]
 90%|█████████ | 18/20 [01:25<00:09,  4.76s/it]
 95%|█████████▌| 19/20 [01:30<00:04,  4.78s/it]
100%|██████████| 20/20 [01:35<00:00,  4.79s/it]
100%|██████████| 20/20 [01:35<00:00,  4.76s/it]
Epoch [5/20], Validation Loss: 0.2541
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [6/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:21,  4.83s/it]
  2%|▎         | 2/80 [00:09<06:12,  4.77s/it]
  4%|▍         | 3/80 [00:14<06:05,  4.75s/it]
  5%|▌         | 4/80 [00:19<06:02,  4.76s/it]
  6%|▋         | 5/80 [00:23<05:55,  4.75s/it]
  8%|▊         | 6/80 [00:28<05:54,  4.80s/it]
  9%|▉         | 7/80 [00:33<05:46,  4.75s/it]
 10%|█         | 8/80 [00:38<05:43,  4.77s/it]
 11%|█▏        | 9/80 [00:42<05:38,  4.77s/it]
 12%|█▎        | 10/80 [00:47<05:34,  4.78s/it]
 14%|█▍        | 11/80 [00:52<05:30,  4.80s/it]
 15%|█▌        | 12/80 [00:57<05:23,  4.75s/it]
 16%|█▋        | 13/80 [01:01<05:11,  4.65s/it]
 18%|█▊        | 14/80 [01:06<05:04,  4.61s/it]
 19%|█▉        | 15/80 [01:10<04:55,  4.55s/it]
 20%|██        | 16/80 [01:14<04:49,  4.52s/it]
 21%|██▏       | 17/80 [01:19<04:49,  4.60s/it]
 22%|██▎       | 18/80 [01:24<04:53,  4.74s/it]
 24%|██▍       | 19/80 [01:29<04:49,  4.74s/it]
 25%|██▌       | 20/80 [01:34<04:43,  4.73s/it]
 26%|██▋       | 21/80 [01:39<04:48,  4.90s/it]
 28%|██▊       | 22/80 [01:44<04:40,  4.84s/it]
 29%|██▉       | 23/80 [01:48<04:33,  4.80s/it]
 30%|███       | 24/80 [01:53<04:28,  4.80s/it]
 31%|███▏      | 25/80 [01:58<04:22,  4.77s/it]
 32%|███▎      | 26/80 [02:03<04:16,  4.74s/it]
 34%|███▍      | 27/80 [02:08<04:13,  4.79s/it]
 35%|███▌      | 28/80 [02:12<04:08,  4.77s/it]
 36%|███▋      | 29/80 [02:17<04:04,  4.80s/it]
 38%|███▊      | 30/80 [02:22<03:58,  4.77s/it]
 39%|███▉      | 31/80 [02:27<03:53,  4.76s/it]
 40%|████      | 32/80 [02:31<03:48,  4.75s/it]
 41%|████▏     | 33/80 [02:36<03:42,  4.74s/it]
 42%|████▎     | 34/80 [02:41<03:37,  4.73s/it]
 44%|████▍     | 35/80 [02:45<03:31,  4.70s/it]
 45%|████▌     | 36/80 [02:50<03:27,  4.71s/it]
 46%|████▋     | 37/80 [02:55<03:24,  4.76s/it]
 48%|████▊     | 38/80 [03:00<03:19,  4.75s/it]
 49%|████▉     | 39/80 [03:05<03:17,  4.81s/it]
 50%|█████     | 40/80 [03:09<03:12,  4.81s/it]
 51%|█████▏    | 41/80 [03:14<03:05,  4.76s/it]
 52%|█████▎    | 42/80 [03:19<03:00,  4.76s/it]
 54%|█████▍    | 43/80 [03:24<02:56,  4.77s/it]
 55%|█████▌    | 44/80 [03:29<02:55,  4.87s/it]
 56%|█████▋    | 45/80 [03:33<02:47,  4.79s/it]
 57%|█████▊    | 46/80 [03:38<02:42,  4.77s/it]
 59%|█████▉    | 47/80 [03:43<02:36,  4.74s/it]
 60%|██████    | 48/80 [03:48<02:32,  4.76s/it]
 61%|██████▏   | 49/80 [03:52<02:27,  4.75s/it]
 62%|██████▎   | 50/80 [03:57<02:22,  4.75s/it]
 64%|██████▍   | 51/80 [04:02<02:17,  4.74s/it]
 65%|██████▌   | 52/80 [04:07<02:13,  4.75s/it]
 66%|██████▋   | 53/80 [04:11<02:08,  4.75s/it]
 68%|██████▊   | 54/80 [04:16<02:04,  4.78s/it]
 69%|██████▉   | 55/80 [04:21<01:59,  4.79s/it]
 70%|███████   | 56/80 [04:26<01:54,  4.79s/it]
 71%|███████▏  | 57/80 [04:31<01:49,  4.78s/it]
 72%|███████▎  | 58/80 [04:35<01:45,  4.78s/it]
 74%|███████▍  | 59/80 [04:40<01:40,  4.76s/it]
 75%|███████▌  | 60/80 [04:45<01:35,  4.78s/it]
 76%|███████▋  | 61/80 [04:50<01:30,  4.75s/it]
 78%|███████▊  | 62/80 [04:54<01:24,  4.71s/it]
 79%|███████▉  | 63/80 [04:59<01:20,  4.75s/it]
 80%|████████  | 64/80 [05:04<01:16,  4.77s/it]
 81%|████████▏ | 65/80 [05:08<01:11,  4.73s/it]
 82%|████████▎ | 66/80 [05:13<01:06,  4.75s/it]
 84%|████████▍ | 67/80 [05:18<01:01,  4.73s/it]
 85%|████████▌ | 68/80 [05:23<00:56,  4.73s/it]
 86%|████████▋ | 69/80 [05:27<00:51,  4.71s/it]
 88%|████████▊ | 70/80 [05:33<00:48,  4.88s/it]
 89%|████████▉ | 71/80 [05:37<00:43,  4.83s/it]
 90%|█████████ | 72/80 [05:42<00:38,  4.80s/it]
 91%|█████████▏| 73/80 [05:47<00:33,  4.78s/it]
 92%|█████████▎| 74/80 [05:51<00:28,  4.76s/it]
 94%|█████████▍| 75/80 [05:56<00:23,  4.76s/it]
 95%|█████████▌| 76/80 [06:01<00:18,  4.73s/it]
 96%|█████████▋| 77/80 [06:06<00:14,  4.73s/it]
 98%|█████████▊| 78/80 [06:10<00:09,  4.72s/it]
 99%|█████████▉| 79/80 [06:15<00:04,  4.78s/it]
100%|██████████| 80/80 [06:20<00:00,  4.79s/it]
100%|██████████| 80/80 [06:20<00:00,  4.76s/it]
Epoch [6/20], Train Loss: 0.2552
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:30,  4.77s/it]
 10%|█         | 2/20 [00:09<01:24,  4.71s/it]
 15%|█▌        | 3/20 [00:14<01:20,  4.74s/it]
 20%|██        | 4/20 [00:18<01:15,  4.73s/it]
 25%|██▌       | 5/20 [00:23<01:11,  4.77s/it]
 30%|███       | 6/20 [00:28<01:06,  4.78s/it]
 35%|███▌      | 7/20 [00:33<01:01,  4.76s/it]
 40%|████      | 8/20 [00:37<00:56,  4.73s/it]
 45%|████▌     | 9/20 [00:42<00:52,  4.73s/it]
 50%|█████     | 10/20 [00:47<00:47,  4.73s/it]
 55%|█████▌    | 11/20 [00:52<00:42,  4.74s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.74s/it]
 65%|██████▌   | 13/20 [01:01<00:33,  4.75s/it]
 70%|███████   | 14/20 [01:06<00:28,  4.78s/it]
 75%|███████▌  | 15/20 [01:11<00:23,  4.78s/it]
 80%|████████  | 16/20 [01:15<00:18,  4.75s/it]
 85%|████████▌ | 17/20 [01:20<00:14,  4.72s/it]
 90%|█████████ | 18/20 [01:25<00:09,  4.75s/it]
 95%|█████████▌| 19/20 [01:30<00:04,  4.72s/it]
100%|██████████| 20/20 [01:34<00:00,  4.76s/it]
100%|██████████| 20/20 [01:34<00:00,  4.75s/it]
Epoch [6/20], Validation Loss: 0.2521
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [7/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:01,  4.58s/it]
  2%|▎         | 2/80 [00:09<06:07,  4.71s/it]
  4%|▍         | 3/80 [00:14<06:03,  4.72s/it]
  5%|▌         | 4/80 [00:18<05:59,  4.73s/it]
  6%|▋         | 5/80 [00:23<05:53,  4.72s/it]
  8%|▊         | 6/80 [00:28<05:49,  4.72s/it]
  9%|▉         | 7/80 [00:33<05:44,  4.72s/it]
 10%|█         | 8/80 [00:37<05:39,  4.72s/it]
 11%|█▏        | 9/80 [00:42<05:36,  4.74s/it]
 12%|█▎        | 10/80 [00:47<05:33,  4.76s/it]
 14%|█▍        | 11/80 [00:52<05:27,  4.75s/it]
 15%|█▌        | 12/80 [00:56<05:22,  4.74s/it]
 16%|█▋        | 13/80 [01:01<05:16,  4.72s/it]
 18%|█▊        | 14/80 [01:06<05:11,  4.71s/it]
 19%|█▉        | 15/80 [01:10<05:07,  4.73s/it]
 20%|██        | 16/80 [01:15<05:01,  4.71s/it]
 21%|██▏       | 17/80 [01:20<04:56,  4.70s/it]
 22%|██▎       | 18/80 [01:25<04:53,  4.73s/it]
 24%|██▍       | 19/80 [01:29<04:50,  4.77s/it]
 25%|██▌       | 20/80 [01:34<04:46,  4.77s/it]
 26%|██▋       | 21/80 [01:39<04:41,  4.78s/it]
 28%|██▊       | 22/80 [01:44<04:38,  4.80s/it]
 29%|██▉       | 23/80 [01:49<04:32,  4.78s/it]
 30%|███       | 24/80 [01:53<04:25,  4.75s/it]
 31%|███▏      | 25/80 [01:58<04:21,  4.75s/it]
 32%|███▎      | 26/80 [02:03<04:16,  4.75s/it]
 34%|███▍      | 27/80 [02:08<04:13,  4.78s/it]
 35%|███▌      | 28/80 [02:12<04:08,  4.78s/it]
 36%|███▋      | 29/80 [02:17<04:05,  4.81s/it]
 38%|███▊      | 30/80 [02:22<04:00,  4.82s/it]
 39%|███▉      | 31/80 [02:27<03:54,  4.79s/it]
 40%|████      | 32/80 [02:31<03:48,  4.75s/it]
 41%|████▏     | 33/80 [02:36<03:43,  4.76s/it]
 42%|████▎     | 34/80 [02:41<03:38,  4.74s/it]
 44%|████▍     | 35/80 [02:46<03:40,  4.89s/it]
 45%|████▌     | 36/80 [02:51<03:32,  4.83s/it]
 46%|████▋     | 37/80 [02:56<03:25,  4.79s/it]
 48%|████▊     | 38/80 [03:00<03:21,  4.79s/it]
 49%|████▉     | 39/80 [03:05<03:16,  4.79s/it]
 50%|█████     | 40/80 [03:10<03:10,  4.76s/it]
 51%|█████▏    | 41/80 [03:15<03:04,  4.73s/it]
 52%|█████▎    | 42/80 [03:19<02:59,  4.73s/it]
 54%|█████▍    | 43/80 [03:24<02:54,  4.70s/it]
 55%|█████▌    | 44/80 [03:29<02:48,  4.69s/it]
 56%|█████▋    | 45/80 [03:33<02:45,  4.73s/it]
 57%|█████▊    | 46/80 [03:38<02:42,  4.77s/it]
 59%|█████▉    | 47/80 [03:43<02:42,  4.91s/it]
 60%|██████    | 48/80 [03:48<02:36,  4.88s/it]
 61%|██████▏   | 49/80 [03:53<02:30,  4.84s/it]
 62%|██████▎   | 50/80 [03:58<02:24,  4.82s/it]
 64%|██████▍   | 51/80 [04:02<02:18,  4.76s/it]
 65%|██████▌   | 52/80 [04:07<02:10,  4.67s/it]
 66%|██████▋   | 53/80 [04:11<02:04,  4.61s/it]
 68%|██████▊   | 54/80 [04:16<01:59,  4.60s/it]
 69%|██████▉   | 55/80 [04:20<01:53,  4.54s/it]
 70%|███████   | 56/80 [04:25<01:51,  4.64s/it]
 71%|███████▏  | 57/80 [04:30<01:48,  4.70s/it]
 72%|███████▎  | 58/80 [04:35<01:44,  4.74s/it]
 74%|███████▍  | 59/80 [04:40<01:39,  4.75s/it]
 75%|███████▌  | 60/80 [04:44<01:34,  4.75s/it]
 76%|███████▋  | 61/80 [04:49<01:29,  4.72s/it]
 78%|███████▊  | 62/80 [04:54<01:25,  4.77s/it]
 79%|███████▉  | 63/80 [04:59<01:21,  4.78s/it]
 80%|████████  | 64/80 [05:04<01:16,  4.78s/it]
 81%|████████▏ | 65/80 [05:08<01:12,  4.82s/it]
 82%|████████▎ | 66/80 [05:13<01:07,  4.81s/it]
 84%|████████▍ | 67/80 [05:18<01:01,  4.77s/it]
 85%|████████▌ | 68/80 [05:23<00:57,  4.76s/it]
 86%|████████▋ | 69/80 [05:27<00:52,  4.73s/it]
 88%|████████▊ | 70/80 [05:32<00:47,  4.75s/it]
 89%|████████▉ | 71/80 [05:37<00:42,  4.74s/it]
 90%|█████████ | 72/80 [05:42<00:37,  4.73s/it]
 91%|█████████▏| 73/80 [05:46<00:33,  4.78s/it]
 92%|█████████▎| 74/80 [05:51<00:28,  4.80s/it]
 94%|█████████▍| 75/80 [05:56<00:23,  4.78s/it]
 95%|█████████▌| 76/80 [06:01<00:18,  4.74s/it]
 96%|█████████▋| 77/80 [06:05<00:14,  4.75s/it]
 98%|█████████▊| 78/80 [06:10<00:09,  4.74s/it]
 99%|█████████▉| 79/80 [06:15<00:04,  4.74s/it]
100%|██████████| 80/80 [06:20<00:00,  4.74s/it]
100%|██████████| 80/80 [06:20<00:00,  4.75s/it]
Epoch [7/20], Train Loss: 0.2549
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:31,  4.80s/it]
 10%|█         | 2/20 [00:09<01:26,  4.82s/it]
 15%|█▌        | 3/20 [00:14<01:21,  4.79s/it]
 20%|██        | 4/20 [00:19<01:15,  4.74s/it]
 25%|██▌       | 5/20 [00:23<01:10,  4.73s/it]
 30%|███       | 6/20 [00:28<01:06,  4.76s/it]
 35%|███▌      | 7/20 [00:33<01:01,  4.75s/it]
 40%|████      | 8/20 [00:37<00:56,  4.73s/it]
 45%|████▌     | 9/20 [00:42<00:52,  4.74s/it]
 50%|█████     | 10/20 [00:47<00:47,  4.75s/it]
 55%|█████▌    | 11/20 [00:52<00:42,  4.76s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.74s/it]
 65%|██████▌   | 13/20 [01:01<00:32,  4.71s/it]
 70%|███████   | 14/20 [01:06<00:27,  4.61s/it]
 75%|███████▌  | 15/20 [01:10<00:22,  4.56s/it]
 80%|████████  | 16/20 [01:14<00:17,  4.49s/it]
 85%|████████▌ | 17/20 [01:19<00:13,  4.50s/it]
 90%|█████████ | 18/20 [01:23<00:08,  4.48s/it]
 95%|█████████▌| 19/20 [01:28<00:04,  4.45s/it]
100%|██████████| 20/20 [01:32<00:00,  4.46s/it]
100%|██████████| 20/20 [01:32<00:00,  4.63s/it]
Epoch [7/20], Validation Loss: 0.2598
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [8/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:05<06:44,  5.12s/it]
  2%|▎         | 2/80 [00:10<06:44,  5.18s/it]
  4%|▍         | 3/80 [00:14<06:16,  4.89s/it]
  5%|▌         | 4/80 [00:19<06:05,  4.81s/it]
  6%|▋         | 5/80 [00:24<05:57,  4.77s/it]
  8%|▊         | 6/80 [00:29<05:56,  4.82s/it]
  9%|▉         | 7/80 [00:33<05:48,  4.78s/it]
 10%|█         | 8/80 [00:38<05:42,  4.75s/it]
 11%|█▏        | 9/80 [00:43<05:33,  4.70s/it]
 12%|█▎        | 10/80 [00:47<05:28,  4.70s/it]
 14%|█▍        | 11/80 [00:52<05:23,  4.69s/it]
 15%|█▌        | 12/80 [00:57<05:20,  4.71s/it]
 16%|█▋        | 13/80 [01:01<05:14,  4.69s/it]
 18%|█▊        | 14/80 [01:06<05:11,  4.72s/it]
 19%|█▉        | 15/80 [01:11<05:07,  4.73s/it]
 20%|██        | 16/80 [01:16<05:02,  4.73s/it]
 21%|██▏       | 17/80 [01:20<04:56,  4.70s/it]
 22%|██▎       | 18/80 [01:25<04:51,  4.70s/it]
 24%|██▍       | 19/80 [01:30<04:46,  4.70s/it]
 25%|██▌       | 20/80 [01:34<04:42,  4.71s/it]
 26%|██▋       | 21/80 [01:39<04:39,  4.74s/it]
 28%|██▊       | 22/80 [01:44<04:34,  4.73s/it]
 29%|██▉       | 23/80 [01:49<04:30,  4.75s/it]
 30%|███       | 24/80 [01:53<04:25,  4.73s/it]
 31%|███▏      | 25/80 [01:58<04:20,  4.74s/it]
 32%|███▎      | 26/80 [02:03<04:14,  4.71s/it]
 34%|███▍      | 27/80 [02:08<04:09,  4.70s/it]
 35%|███▌      | 28/80 [02:12<04:03,  4.68s/it]
 36%|███▋      | 29/80 [02:17<03:59,  4.69s/it]
 38%|███▊      | 30/80 [02:22<03:54,  4.69s/it]
 39%|███▉      | 31/80 [02:26<03:51,  4.72s/it]
 40%|████      | 32/80 [02:31<03:45,  4.70s/it]
 41%|████▏     | 33/80 [02:36<03:41,  4.70s/it]
 42%|████▎     | 34/80 [02:40<03:36,  4.71s/it]
 44%|████▍     | 35/80 [02:45<03:29,  4.65s/it]
 45%|████▌     | 36/80 [02:50<03:27,  4.72s/it]
 46%|████▋     | 37/80 [02:55<03:23,  4.74s/it]
 48%|████▊     | 38/80 [02:59<03:18,  4.72s/it]
 49%|████▉     | 39/80 [03:04<03:12,  4.70s/it]
 50%|█████     | 40/80 [03:09<03:07,  4.68s/it]
 51%|█████▏    | 41/80 [03:13<03:03,  4.69s/it]
 52%|█████▎    | 42/80 [03:18<02:57,  4.66s/it]
 54%|█████▍    | 43/80 [03:23<02:55,  4.74s/it]
 55%|█████▌    | 44/80 [03:28<02:56,  4.89s/it]
 56%|█████▋    | 45/80 [03:33<02:49,  4.84s/it]
 57%|█████▊    | 46/80 [03:38<02:44,  4.83s/it]
 59%|█████▉    | 47/80 [03:42<02:38,  4.80s/it]
 60%|██████    | 48/80 [03:47<02:33,  4.79s/it]
 61%|██████▏   | 49/80 [03:52<02:27,  4.75s/it]
 62%|██████▎   | 50/80 [03:56<02:21,  4.72s/it]
 64%|██████▍   | 51/80 [04:01<02:16,  4.69s/it]
 65%|██████▌   | 52/80 [04:06<02:12,  4.72s/it]
 66%|██████▋   | 53/80 [04:11<02:07,  4.71s/it]
 68%|██████▊   | 54/80 [04:15<02:02,  4.71s/it]
 69%|██████▉   | 55/80 [04:20<01:58,  4.73s/it]
 70%|███████   | 56/80 [04:25<01:54,  4.75s/it]
 71%|███████▏  | 57/80 [04:29<01:48,  4.72s/it]
 72%|███████▎  | 58/80 [04:34<01:44,  4.73s/it]
 74%|███████▍  | 59/80 [04:39<01:39,  4.74s/it]
 75%|███████▌  | 60/80 [04:44<01:34,  4.73s/it]
 76%|███████▋  | 61/80 [04:48<01:29,  4.70s/it]
 78%|███████▊  | 62/80 [04:53<01:24,  4.71s/it]
 79%|███████▉  | 63/80 [04:58<01:20,  4.71s/it]
 80%|████████  | 64/80 [05:03<01:15,  4.73s/it]
 81%|████████▏ | 65/80 [05:07<01:10,  4.69s/it]
 82%|████████▎ | 66/80 [05:12<01:05,  4.69s/it]
 84%|████████▍ | 67/80 [05:16<01:00,  4.67s/it]
 85%|████████▌ | 68/80 [05:21<00:56,  4.69s/it]
 86%|████████▋ | 69/80 [05:26<00:51,  4.70s/it]
 88%|████████▊ | 70/80 [05:31<00:47,  4.71s/it]
 89%|████████▉ | 71/80 [05:35<00:42,  4.70s/it]
 90%|█████████ | 72/80 [05:40<00:37,  4.70s/it]
 91%|█████████▏| 73/80 [05:45<00:32,  4.71s/it]
 92%|█████████▎| 74/80 [05:49<00:28,  4.72s/it]
 94%|█████████▍| 75/80 [05:54<00:23,  4.71s/it]
 95%|█████████▌| 76/80 [05:59<00:18,  4.68s/it]
 96%|█████████▋| 77/80 [06:04<00:14,  4.70s/it]
